original_post,label,image_id,post_id
柯迪指挥官报告，我们已登上长城,0,62b31d36gw1ex8ts40449j20si0iygns,3900416838856950
【每日美图】险：那些让人惊心动魄的道路，你会去走吗？,0,62b31d36gw1ex2afp07m4j20qq0hrdma,3898473029661518
【每日美图】2015旅行摄影大赏,0,62b31d36gw1ez8qlgwgvyj20qq0hudmh,3922957955062375
#南都即时#【#惠州一男子劫持女童连划多刀# 民警警告无效后将其击毙】今天上午，在广东惠州龙门县谷行街，一名男子劫持一名6岁女童，且多次用刀伤害。目击者称，男子坐在凳子上，用刀对着女孩胸口及脖子间连划多刀，民警在警告无效后将男子击毙。现场民警证实，女童已经送医救治。O突发｜广东惠州龙门民警开枪击毙劫持小孩男子 -- 并读新闻,0,6204ece1gw1ez2k516xn0j20iw0clmy3,3921020916098963
年度最佳自拍：朕和朕的汪星人后宫。（喵星人的喵星球）,0,684ebae3jw1ezwjatc8mqj20c80ak3yz,3930439666869294
【72岁老人炒瓜子攒12万捐座桥】72岁的老人吴月咏多年在武汉市新洲区靠炒瓜子维持一家三口的生计，一个月前，他将多年攒下了12万元全部捐给了村里，修了一座石桥，桥面长约50米，桥上没有留下名字。如今，吴爹爹已经没有钱了，他正在为智力残疾的儿子申请低保。O72岁爹爹炒瓜子攒12万捐了座桥，其子智残正申请低保 - 湖北 -,0,684ebae3jw1ezs77ljo3yj20d708cweu,3929072406792392
9种果皮，吃完别扔哦！ 超实用，转发收藏吧！（中新网）,0,684ebae3jw1eyjbe5xgxgj20c80fy0tr,3915009240885134
【现实版“周扒皮”：拘禁外来务工者 暴力逼迫拔萝卜】山东寿光最近上演现实版的“周扒皮”：嫌疑人网络发布虚假招聘信息，把骗来的务工人员非法拘禁，逼迫务工人员拔萝卜。凌晨两点半吃饭，天不亮下地干活，晚上六点半收工，干活慢还被打……最终嫌疑人被抓，务工人员得救。O网页链接,0,684ebae3jw1eyj1dwmhxkj20c80ho75r,3914904048034799
【香港街头天降“钻石雨”引哄抢 其实一颗“钻石”不值10港币】据港媒报道，近日，香港弥敦道天降“钻石”，导致行人疯抢。但经鉴证后，该批“钻石”实为“苏联石”，100港元便买到10多粒，多用以制作首饰。(央视),0,684ebae3jw1eyhw5nzklbj20c806wwfc,3914574375832172
【重庆一2600万超级跑车撞人行护栏 驾驶员被警方带走】29日凌晨，重庆一价值超2千万元科尼塞克“幽灵跑车”撞上10多米长人行道护栏，左后轮被撞飞。据悉，全球只有6辆科尼塞克，价值2600多万。知情者称事故原因或涉酒驾。事后，豪车驾驶员被警方带走调查。(华龙网)O重庆2000多万豪车“最贵”一撞 或涉酒驾 副驾有位红衣女子,0,684ebae3jw1eyhve3n0wzj20af0dw74z,3914545183734500
【央视揭“伴游”内幕：白天陪玩晚上陪睡，网上一般用假照】网上搜“伴游”，大量女孩照片扑面而来，不乏暧昧挑逗话语，价格动辄万元。“贵是因为白天陪玩，晚上还要陪睡”。记者联系几位女孩，发现本人与网上照片不一致，甚至有女孩看似不足16岁，不知道行为违法。（扬子晚报）O网页链接,0,684ebae3gw1eyec1dcmpuj20c80aidg0,3913427922090557
#晚安#【12岁少年直播LOL月赚3万元 被批玩物丧志 你咋看?】南昌一名12岁少年凭借高超的LOL水平，直播LOL每月收入3万元，并接到多家职业俱乐部的邀约。但也有人批评他不好好学习玩物丧志，他的母亲表示12岁小孩过钢琴10级被称神童，游戏打到王者却被批评，这不公平。你咋看？O网页链接,0,684ebae3jw1eybab5qn57j208l0faaai,3912482593086356
【山东临沂一年级小学生集体抽100下耳光还得带响 因老师心情不好】临沂禹韩小学一年级孩子日前接到老师的指令，要求每个学生打自己嘴巴100下。必须高高抬起，重重落下，还得带响声，如果不带响声的话，老师还不愿意。家长说，下令的这位老师当时心情不好。O网页链接,0,684ebae3jw1ey6bpt5pwkj20bi07yq36,3910922315307337
四招让你的驼背直起来，get起来！（全球健身中心）,0,684ebae3gw1ey32jaawxjj20c80rbgnb,3909899572893020
【提醒！防范手机流量被“偷”这样做】近日有媒体报道，广东的龙女士3小时被“偷”23G流量，运营商检查分析后回应：流量异常是由于应用软件重复下载大流量文件造成的。如何“保卫”自己的流量？你的哪些习惯为“流量小偷”提供了可乘之机？这些知识你必须知道↓↓戳图学习。（人民日报）,0,684ebae3jw1ey2m5hkinjj20c80c875x,3909827598152527
【记者揭露人造肉遭围攻 派出所内被人放狠话“弄死你”】河南鹤壁市一家黑作坊生产组织蛋白，也就是人造肉，用来生产香肠牛排等，添加了国家禁用的食品添加剂。据悉，部分人造肉被河南食全食美收购。记者采访遭遇工人围攻，食全食美负责人在派出所内放话，声称要弄死记者。,0,684ebae3jw1ezq2gal6fnj20c80a3q3b,3928391419590772
【天津市津南开发区运输液化气货车爆炸】今天14:10左右，天津市津南区双港镇津南开发区附近一运输液化气货车发生爆炸，据附近居民介绍至少有5次连续爆炸，目前消防已赶往现场救援，暂无人员伤亡。（央视）,0,684ebae3jw1ezooa8gaz5j20c8096aap,3927959574935652
【#宁夏公交起火#14死32伤，此人有重大作案嫌疑】今天上午，银川301路公交车失火，14人死亡32人受伤，宁夏公安厅指挥部发出协查通报。嫌疑人马永平，身份证号为640105198203011950，有重大作案嫌疑。其名下有3辆车：宁AKN035、宁E32909、宁AJB016。如有线索立即报警！,0,684ebae3jw1ezojv97eujj20c806v3yo,3927915064620555
"【“十二星座”和“交通事故”有关系?】造成伤亡事故最多的是天蝎座,紧跟其后是射手座和天秤座。最龟毛的“处女座”不是驾车最谨慎的,爱幻想的“双鱼座”发生伤亡事故概率最小。事故高危月份集中在9、10、11、12月份的工作日,周二死亡事故上升幅度最大,17点至20点之间事故率高!(公安部交通安全微发布)",0,684ebae3jw1ezvotqdsslj20c80fxabe,3930158563616663
【山东女大学生跳冰湖救野兔】早晨正忙着去上课，却看见一只野兔在湖水中扑腾，山东女子学院大二学生贾同凤不顾冰冷的湖水，跳进去将野兔救出来，然后把野兔放生了，回到宿舍换了干衣服就匆匆赶去上课。(齐鲁晚报)O野兔踩破冰湖 山东一大二女生跳湖相救(图),0,684ebae3jw1ezi0i2shwwj20dv0h5q3i,3925878360293714
【澳洲60吨运往中国奶粉被全部没收 重挫华人代购】据澳媒，澳业农业部日前将墨尔本一处仓库内的60吨婴儿奶粉尽数没收。被扣因出口手续不当还是奶粉质量尚不得知，但此番突袭重挫华人代购。据悉，自双11被指为澳奶荒最大原因后，澳政府严查一切没有授权的奶粉出口。（中青网）O澳洲60吨运往中国奶粉被全部没收 重挫华人代购渠道,0,684ebae3jw1ezhv5hfvshj20hp0cq0wr,3925820479871523
【中纪委机关报：多听百姓给官员起的绰号 可顺藤查贪腐】四川省委原副书记李春城因拆迁被市民称“李拆城”；南京原市长季建业，人称“季挖挖”；天津公安局原局长武长顺讲究江湖义气，被称“武爷“，韩先聪被称“韩大嘴””…多听听百姓给官员起的绰号，便可顺藤摸瓜惩腐肃贪。O网页链接,0,684ebae3jw1ezc6nwf229j20c80c8t9u,3924059374919016
【计生法草案删除失独家庭扶助条款 全国人大副委员长：不应该！】正审议的计生法修正案草案删失独家庭扶助条款，全国人大常委会副委员长陈昌智表示：“现在提倡一对夫妇可以生育两孩了，那么对于过去的独生子女就不给予必要的帮助，是不应该的。”不要以一种倾向掩盖另一种倾向。(中新网）,0,684ebae3jw1ezbxy2nh0sj20c8098gm6,3923968023108292
